timestamp,iv_1W,iv_1M,iv_2M,iv_3M,iv_6M,iv_1Y,atm_iv,skew_25d,skew_10d
2023-01-03,0.171191,0.172763,0.1691,0.168206,0.165085,0.174106,0.172763,-0.045036,-0.067911
2023-01-04,0.170247,0.176486,0.175736,0.1726,0.171397,0.172096,0.176486,-0.03844,-0.060122
2023-01-05,0.161446,0.165524,0.162914,0.163062,0.16896,0.162401,0.165524,-0.041863,-0.088286
2023-01-06,0.169905,0.177041,0.179245,0.176541,0.17641,0.170284,0.177041,-0.036,-0.076531
2023-01-09,0.172851,0.18221,0.172847,0.17151,0.171163,0.176724,0.18221,-0.036079,-0.072535
2023-01-10,0.166718,0.165639,0.170771,0.165646,0.164875,0.172877,0.165639,-0.040782,-0.085523
2023-01-11,0.17579,0.17237,0.172568,0.176137,0.172446,0.175389,0.17237,-0.030079,-0.085292
2023-01-12,0.178426,0.171785,0.176412,0.175949,0.179609,0.172511,0.171785,-0.033876,-0.060381
2023-01-13,0.187985,0.189837,0.188065,0.187148,0.190058,0.193159,0.189837,-0.032454,-0.075017
2023-01-16,0.190581,0.188324,0.192259,0.186887,0.184736,0.190275,0.188324,-0.042484,-0.072053
2023-01-17,0.187591,0.195861,0.18872,0.189644,0.185594,0.188256,0.195861,-0.040729,-0.080964
2023-01-18,0.189122,0.183524,0.192865,0.1962,0.18932,0.185748,0.183524,-0.043591,-0.068501
2023-01-19,0.201537,0.202694,0.195182,0.20051,0.204123,0.200645,0.202694,-0.044614,-0.066057
2023-01-20,0.203639,0.198697,0.197589,0.203486,0.197723,0.198599,0.198697,-0.039076,-0.079208
2023-01-23,0.189731,0.184971,0.190855,0.190401,0.188638,0.193132,0.184971,-0.042141,-0.073596
2023-01-24,0.18345,0.185487,0.180982,0.1819,0.182813,0.185094,0.185487,-0.040761,-0.088099
2023-01-25,0.172784,0.180621,0.177616,0.180786,0.185322,0.179186,0.180621,-0.030199,-0.085444
2023-01-26,0.16983,0.175964,0.176506,0.173699,0.176149,0.174657,0.175964,-0.049196,-0.078301
2023-01-27,0.157593,0.160701,0.153339,0.157002,0.152596,0.155173,0.160701,-0.03336,-0.062736
2023-01-30,0.145829,0.149983,0.149145,0.146183,0.152457,0.149313,0.149983,-0.04662,-0.089212
2023-01-31,0.145583,0.137226,0.134793,0.135483,0.142066,0.142578,0.137226,-0.034033,-0.065247
2023-02-01,0.141852,0.145781,0.139741,0.144331,0.149433,0.142265,0.145781,-0.034939,-0.062193
2023-02-02,0.154402,0.16064,0.160433,0.158526,0.16101,0.158745,0.16064,-0.030138,-0.072226
2023-02-03,0.178221,0.177893,0.177998,0.179899,0.179415,0.173549,0.177893,-0.048681,-0.077631
2023-02-06,0.182404,0.179457,0.176998,0.180307,0.179925,0.173273,0.179457,-0.042662,-0.074814
2023-02-07,0.185937,0.187206,0.192174,0.180605,0.185787,0.188803,0.187206,-0.041871,-0.073375
2023-02-08,0.194464,0.196564,0.195329,0.20051,0.195931,0.196159,0.196564,-0.042739,-0.073287
2023-02-09,0.199531,0.194154,0.197777,0.19491,0.200439,0.196711,0.194154,-0.032383,-0.062523
2023-02-10,0.194634,0.1928,0.190956,0.196617,0.18557,0.190347,0.1928,-0.032325,-0.076129
2023-02-13,0.169645,0.172985,0.16992,0.170216,0.169376,0.174651,0.172985,-0.040698,-0.089176
2023-02-14,0.157255,0.150979,0.158177,0.152702,0.155481,0.15708,0.150979,-0.036439,-0.075966
2023-02-15,0.142518,0.145965,0.145799,0.145987,0.151896,0.148891,0.145965,-0.034074,-0.076707
2023-02-16,0.151559,0.15113,0.144228,0.149246,0.150441,0.151478,0.15113,-0.042964,-0.063938
2023-02-17,0.149838,0.152168,0.150145,0.157683,0.152673,0.151812,0.152168,-0.048595,-0.071553
2023-02-20,0.154301,0.158158,0.155468,0.159063,0.15777,0.158828,0.158158,-0.045599,-0.076911
2023-02-21,0.158567,0.153716,0.162883,0.157537,0.165433,0.161523,0.153716,-0.047708,-0.065411
2023-02-22,0.139855,0.140865,0.141332,0.142886,0.141291,0.144937,0.140865,-0.038078,-0.086779
2023-02-23,0.148204,0.144957,0.147881,0.152621,0.148786,0.147523,0.144957,-0.046072,-0.072533
2023-02-24,0.147169,0.152262,0.147183,0.150517,0.149963,0.155312,0.152262,-0.036909,-0.061595
2023-02-27,0.144258,0.147337,0.14834,0.148229,0.151684,0.14992,0.147337,-0.044865,-0.067249
2023-02-28,0.127874,0.129338,0.130285,0.13514,0.13078,0.136695,0.129338,-0.039697,-0.078835
2023-03-01,0.12624,0.133144,0.127446,0.131831,0.131915,0.135707,0.133144,-0.030637,-0.075043
2023-03-02,0.134504,0.131575,0.135058,0.134152,0.134514,0.130631,0.131575,-0.035021,-0.072955
2023-03-03,0.149094,0.155532,0.148183,0.151866,0.152581,0.146545,0.155532,-0.041294,-0.083014
2023-03-06,0.154452,0.158918,0.155116,0.155449,0.159575,0.161503,0.158918,-0.047577,-0.066785
2023-03-07,0.154284,0.158841,0.160776,0.157075,0.161827,0.161035,0.158841,-0.041301,-0.084467
2023-03-08,0.159831,0.153066,0.155069,0.158839,0.156643,0.163846,0.153066,-0.046093,-0.065482
2023-03-09,0.16751,0.166271,0.171319,0.168469,0.168395,0.166767,0.166271,-0.046052,-0.077224
2023-03-10,0.173791,0.170948,0.177868,0.177373,0.178922,0.181083,0.170948,-0.03562,-0.069128
2023-03-13,0.179958,0.184957,0.185627,0.185303,0.178626,0.188109,0.184957,-0.03818,-0.084813
2023-03-14,0.187203,0.182067,0.188689,0.186626,0.184156,0.19336,0.182067,-0.039468,-0.072464
2023-03-15,0.179893,0.176234,0.179901,0.181369,0.179635,0.179854,0.176234,-0.030823,-0.070518
2023-03-16,0.193242,0.193496,0.189039,0.188162,0.196462,0.193375,0.193496,-0.034342,-0.064371
2023-03-17,0.184472,0.184584,0.185148,0.187287,0.186661,0.183069,0.184584,-0.049358,-0.067476
2023-03-20,0.172511,0.173791,0.175667,0.176084,0.173533,0.172125,0.173791,-0.044881,-0.073564
2023-03-21,0.177062,0.179715,0.181668,0.185126,0.179642,0.176183,0.179715,-0.031374,-0.084399
2023-03-22,0.184207,0.184466,0.187497,0.181743,0.191369,0.186335,0.184466,-0.042588,-0.07345
2023-03-23,0.188594,0.190715,0.190127,0.191738,0.197488,0.186707,0.190715,-0.045161,-0.078307
2023-03-24,0.194469,0.201529,0.196693,0.199411,0.197774,0.19681,0.201529,-0.035901,-0.06817
2023-03-27,0.19182,0.188333,0.1861,0.186336,0.193392,0.193804,0.188333,-0.038189,-0.067623
2023-03-28,0.186821,0.183887,0.183166,0.184795,0.179576,0.180805,0.183887,-0.042349,-0.060638
2023-03-29,0.161767,0.161209,0.157327,0.162625,0.165515,0.163438,0.161209,-0.035605,-0.074335
2023-03-30,0.149019,0.149261,0.149514,0.149411,0.153454,0.153751,0.149261,-0.046547,-0.089727
2023-03-31,0.150964,0.152681,0.152217,0.147067,0.149128,0.154121,0.152681,-0.048397,-0.078871
2023-04-03,0.141562,0.147664,0.146372,0.148091,0.148568,0.143585,0.147664,-0.033748,-0.065535
2023-04-04,0.151625,0.151913,0.156768,0.154212,0.157144,0.155248,0.151913,-0.032548,-0.075935
2023-04-05,0.147858,0.150252,0.151327,0.148869,0.155436,0.152539,0.150252,-0.034493,-0.089021
2023-04-06,0.153316,0.160168,0.157642,0.164166,0.162243,0.156537,0.160168,-0.041718,-0.06245
2023-04-07,0.145232,0.143645,0.141552,0.147522,0.147407,0.146173,0.143645,-0.040928,-0.088517
2023-04-10,0.137768,0.141676,0.134963,0.130726,0.142819,0.143158,0.141676,-0.033131,-0.074935
2023-04-11,0.138438,0.134223,0.134564,0.133829,0.139742,0.131338,0.134223,-0.035523,-0.08795
2023-04-12,0.122665,0.126712,0.124013,0.125093,0.121079,0.125825,0.126712,-0.044332,-0.08329
2023-04-13,0.138598,0.139134,0.141474,0.138625,0.138467,0.134657,0.139134,-0.040197,-0.078772
2023-04-14,0.142347,0.141825,0.147208,0.142126,0.150226,0.144521,0.141825,-0.046971,-0.065185
2023-04-17,0.147868,0.150129,0.155043,0.150082,0.152233,0.15329,0.150129,-0.041138,-0.082288
2023-04-18,0.160069,0.159732,0.158207,0.16119,0.155955,0.164387,0.159732,-0.03082,-0.070702
2023-04-19,0.168454,0.164138,0.174206,0.165702,0.165633,0.167114,0.164138,-0.045559,-0.088989
2023-04-20,0.163481,0.162016,0.161307,0.158865,0.162566,0.16171,0.162016,-0.039954,-0.079669
2023-04-21,0.149888,0.152514,0.151191,0.152985,0.153025,0.153635,0.152514,-0.045722,-0.085012
2023-04-24,0.1409,0.140391,0.141219,0.14388,0.138887,0.142383,0.140391,-0.043087,-0.07658
2023-04-25,0.145108,0.139694,0.15022,0.150233,0.137139,0.14691,0.139694,-0.031325,-0.087035
2023-04-26,0.150288,0.14296,0.151315,0.155188,0.152391,0.157732,0.14296,-0.048231,-0.070872
2023-04-27,0.138298,0.135583,0.141743,0.145565,0.141556,0.142254,0.135583,-0.030384,-0.063714
2023-04-28,0.150753,0.151369,0.150631,0.147707,0.147195,0.146429,0.151369,-0.034447,-0.083916
2023-05-01,0.150927,0.153735,0.156535,0.154025,0.158131,0.162428,0.153735,-0.034684,-0.07692
2023-05-02,0.151336,0.157695,0.151429,0.15384,0.153604,0.15533,0.157695,-0.043046,-0.078584
2023-05-03,0.141719,0.136952,0.144291,0.145143,0.145781,0.141773,0.136952,-0.035396,-0.080695
2023-05-04,0.132692,0.12587,0.130732,0.136601,0.131789,0.137981,0.12587,-0.049088,-0.070196
2023-05-05,0.124933,0.134835,0.12458,0.128315,0.131166,0.13236,0.134835,-0.044421,-0.062124
2023-05-08,0.135918,0.139087,0.136444,0.135015,0.136938,0.135284,0.139087,-0.037535,-0.088567
2023-05-09,0.141132,0.145758,0.138162,0.138918,0.148786,0.145013,0.145758,-0.045842,-0.065945
2023-05-10,0.151439,0.158579,0.155243,0.157505,0.156001,0.159802,0.158579,-0.043369,-0.070946
2023-05-11,0.153047,0.15827,0.157729,0.156323,0.161003,0.155955,0.15827,-0.046797,-0.072579
2023-05-12,0.166424,0.169548,0.164615,0.164588,0.167251,0.176077,0.169548,-0.038933,-0.064914
2023-05-15,0.156602,0.159174,0.159186,0.161112,0.165387,0.158573,0.159174,-0.037453,-0.082467
2023-05-16,0.159208,0.156949,0.161014,0.155571,0.157398,0.160285,0.156949,-0.04436,-0.070922
2023-05-17,0.157988,0.157689,0.156733,0.157275,0.155652,0.157198,0.157689,-0.030337,-0.062225
2023-05-18,0.160899,0.166371,0.16323,0.167317,0.165701,0.169774,0.166371,-0.030356,-0.087069
2023-05-19,0.165419,0.170731,0.16594,0.169294,0.162365,0.166298,0.170731,-0.031656,-0.082004
2023-05-22,0.180245,0.17472,0.175653,0.17127,0.176378,0.178951,0.17472,-0.048327,-0.075274
2023-05-23,0.163809,0.164485,0.167259,0.169684,0.166422,0.169829,0.164485,-0.049685,-0.060957
2023-05-24,0.157934,0.155166,0.162928,0.16013,0.162844,0.160813,0.155166,-0.033174,-0.076852
2023-05-25,0.153387,0.158286,0.153173,0.153834,0.15486,0.157739,0.158286,-0.036374,-0.06134
2023-05-26,0.123927,0.130214,0.132462,0.127294,0.133603,0.135688,0.130214,-0.038057,-0.082699
2023-05-29,0.129738,0.131359,0.134956,0.131697,0.131683,0.136459,0.131359,-0.039421,-0.067074
2023-05-30,0.131534,0.139572,0.136309,0.134403,0.140093,0.139408,0.139572,-0.037021,-0.064386
2023-05-31,0.131412,0.125606,0.13324,0.131374,0.134227,0.126694,0.125606,-0.047428,-0.076624
2023-06-01,0.134447,0.13672,0.139678,0.137948,0.143628,0.13886,0.13672,-0.039378,-0.071981
