date,spot,rate,vix,volume
2023-01-03,451.55,0.052109,17.23,35734472
2023-01-04,450.06,0.052129,18.63,76666879
2023-01-05,452.31,0.052114,16.15,78176754
2023-01-06,448.96,0.052274,18.06,59717996
2023-01-09,451.09,0.05203,18.39,57316359
2023-01-10,456.59,0.052253,17.46,74758891
2023-01-11,453.33,0.05232,18.22,78071431
2023-01-12,453.74,0.052179,16.8,60204931
2023-01-13,452.33,0.052079,18.92,39756953
2023-01-16,455.55,0.052336,18.58,58064723
2023-01-17,448.75,0.052543,18.36,67136386
2023-01-18,449.67,0.052434,18.72,55071110
2023-01-19,442.92,0.052568,21.06,72211199
2023-01-20,442.42,0.052172,18.81,43293312
2023-01-23,444.62,0.052393,17.97,59656040
2023-01-24,443.61,0.052523,18.85,39090193
2023-01-25,440.7,0.05253,19.89,68490143
2023-01-26,439.61,0.05278,17.85,85387813
2023-01-27,446.04,0.052367,16.33,59152852
2023-01-30,445.19,0.052966,18.22,77571898
2023-01-31,446.87,0.052842,13.06,52805883
2023-02-01,446.37,0.052339,14.06,49465193
2023-02-02,446.2,0.051984,14.71,57510566
2023-02-03,442.67,0.052263,18.16,51456092
2023-02-06,441.96,0.051896,16.25,58175247
2023-02-07,442.92,0.052288,18.97,69287392
2023-02-08,440.72,0.05192,18.05,67748516
2023-02-09,449.92,0.051588,18.67,86921664
2023-02-10,453.47,0.052011,19.13,70063618
2023-02-13,456.69,0.051747,16.7,46717804
2023-02-14,460.88,0.052048,16.19,60084903
2023-02-15,466.64,0.052101,13.25,68637451
2023-02-16,467.11,0.052015,12.94,52201349
2023-02-17,464.53,0.051371,15.13,55187803
2023-02-20,459.74,0.050931,18.26,38634074
2023-02-21,453.94,0.050821,16.25,47426500
2023-02-22,460.96,0.050709,13.79,71521491
2023-02-23,455.19,0.05085,15.94,56670091
2023-02-24,455.93,0.050946,14.79,54176629
2023-02-27,464.88,0.051303,14.94,48313827
2023-02-28,466.8,0.051162,13.41,48343539
2023-03-01,467.08,0.051604,9.85,67288437
2023-03-02,466.24,0.051702,15.34,38649173
2023-03-03,459.67,0.051602,16.4,49206522
2023-03-06,462.39,0.051734,16.64,91159017
2023-03-07,461.09,0.051969,15.69,47325445
2023-03-08,466.53,0.051949,14.26,41419396
2023-03-09,464.01,0.051959,15.55,49794239
2023-03-10,460.63,0.05205,17.75,30630657
2023-03-13,462.91,0.051576,20.23,73863594
2023-03-14,465.0,0.051646,19.06,81027073
2023-03-15,466.49,0.051946,16.73,70750907
2023-03-16,465.85,0.0522,19.06,68034592
2023-03-17,473.28,0.052138,16.33,99914796
2023-03-20,481.7,0.051763,15.38,40966106
2023-03-21,477.42,0.05107,18.18,43808511
2023-03-22,474.84,0.051139,19.36,76401996
2023-03-23,470.9,0.051295,18.73,59093882
2023-03-24,470.27,0.050596,18.86,42767219
2023-03-27,474.56,0.050575,20.57,84915291
2023-03-28,475.13,0.050468,19.27,51677992
2023-03-29,483.56,0.050429,13.9,72120456
2023-03-30,487.92,0.050558,14.84,55185750
2023-03-31,489.52,0.050879,14.73,42847132
2023-04-03,494.67,0.051502,14.76,94265188
2023-04-04,495.52,0.051596,14.33,64612057
2023-04-05,488.2,0.052178,16.34,60602126
2023-04-06,483.6,0.052364,15.49,67779884
2023-04-07,488.36,0.052794,14.49,68346196
2023-04-10,490.95,0.052538,14.8,71454520
2023-04-11,495.61,0.052819,11.38,60369904
2023-04-12,494.4,0.052603,10.67,78427774
2023-04-13,481.68,0.052742,12.17,56606415
2023-04-14,480.47,0.052943,13.53,70169678
2023-04-17,484.61,0.052885,16.59,85036765
2023-04-18,482.51,0.052777,15.04,88470770
2023-04-19,480.3,0.053121,13.91,56918430
2023-04-20,476.55,0.053045,15.97,62311600
2023-04-21,477.56,0.053212,15.71,70775569
2023-04-24,486.24,0.052838,12.85,49516059
2023-04-25,486.02,0.05306,14.05,78502768
2023-04-26,483.09,0.053138,13.99,63980296
2023-04-27,483.98,0.053247,11.07,61212239
2023-04-28,478.96,0.052894,13.56,94959447
2023-05-01,480.14,0.052399,13.98,92319482
2023-05-02,478.24,0.052553,14.78,38375569
2023-05-03,483.8,0.052688,12.16,76443897
2023-05-04,486.04,0.052446,11.61,71694832
2023-05-05,488.95,0.052455,13.23,58390213
2023-05-08,486.43,0.052143,10.78,85439639
2023-05-09,493.66,0.052057,14.15,60342740
2023-05-10,488.4,0.052673,15.71,75487950
2023-05-11,486.86,0.052556,17.88,67465860
2023-05-12,486.03,0.052295,17.1,69791003
2023-05-15,492.03,0.052193,15.75,51463653
2023-05-16,483.76,0.052428,16.24,26528834
2023-05-17,480.47,0.052554,15.99,100739034
2023-05-18,479.73,0.052424,15.62,57180156
2023-05-19,483.81,0.05235,17.84,69711158
2023-05-22,471.94,0.052075,17.38,50545423
2023-05-23,477.57,0.051783,15.61,80737604
2023-05-24,480.37,0.051472,16.18,75524954
2023-05-25,479.46,0.051166,15.4,59735714
2023-05-26,484.01,0.051251,13.99,86917683
2023-05-29,479.55,0.051195,13.48,73231082
2023-05-30,480.28,0.051496,15.05,31290971
2023-05-31,476.33,0.051651,12.65,91963917
2023-06-01,472.74,0.052186,15.11,95731334
2023-06-02,468.74,0.052377,15.82,83744979
2023-06-05,471.61,0.051993,16.8,56657120
2023-06-06,479.25,0.052054,13.29,65180797
2023-06-07,481.06,0.052593,15.5,63804056
2023-06-08,481.19,0.052548,13.73,48763592
2023-06-09,475.31,0.052847,17.07,63159730
2023-06-12,480.07,0.052961,16.71,70169073
2023-06-13,484.95,0.0529,13.67,68258467
2023-06-14,486.11,0.052973,14.22,58970111
2023-06-15,481.2,0.052414,14.41,33250183
2023-06-16,481.42,0.052883,12.97,70939008
2023-06-19,479.88,0.053434,13.71,86412279
2023-06-20,487.44,0.053543,16.69,66965867
2023-06-21,490.64,0.053816,11.9,57653747
2023-06-22,491.75,0.054015,10.61,35945496
2023-06-23,486.17,0.053613,12.26,77465477
2023-06-26,483.9,0.053631,10.91,75864240
2023-06-27,475.42,0.053699,15.6,64580263
2023-06-28,470.72,0.053569,11.46,83674210
2023-06-29,463.25,0.053475,16.32,65578716
2023-06-30,460.38,0.053506,14.79,70845375
2023-07-03,466.7,0.053527,12.16,45844753
2023-07-04,463.64,0.053874,15.98,79811077
2023-07-05,466.03,0.053909,14.18,51994921
2023-07-06,465.31,0.053932,16.23,61515960
2023-07-07,467.59,0.053586,16.63,73843203
2023-07-10,472.31,0.053946,17.06,72361500
2023-07-11,470.57,0.053429,17.72,10273807
2023-07-12,472.93,0.054101,16.05,57739548
2023-07-13,475.06,0.05409,15.24,63354088
2023-07-14,473.87,0.054058,16.82,60758063
2023-07-17,476.8,0.053633,15.99,58814946
2023-07-18,478.85,0.053822,12.4,70615796
2023-07-19,480.3,0.05436,15.29,87189117
2023-07-20,479.92,0.054607,14.01,66961462
2023-07-21,476.86,0.054808,13.88,70103149
2023-07-24,480.16,0.054311,12.88,57488828
2023-07-25,475.67,0.054412,15.26,74295529
2023-07-26,477.61,0.054423,15.06,32296849
2023-07-27,482.5,0.054264,15.21,72277416
2023-07-28,486.85,0.054556,15.02,50678122
2023-07-31,487.37,0.054269,14.17,73138916
2023-08-01,482.0,0.05471,14.55,44340265
2023-08-02,483.87,0.054572,15.58,86810752
2023-08-03,481.08,0.054549,14.42,86676889
2023-08-04,476.04,0.054944,18.64,68401790
2023-08-07,473.2,0.054962,16.73,71488916
2023-08-08,471.35,0.054783,15.94,60849498
2023-08-09,475.11,0.054931,16.72,88687782
2023-08-10,481.0,0.054601,16.36,72794908
2023-08-11,474.58,0.054519,14.53,87310974
2023-08-14,473.5,0.054624,14.97,59580943
2023-08-15,475.72,0.054543,18.01,62237363
2023-08-16,475.33,0.054337,17.47,61053898
2023-08-17,474.58,0.054337,18.85,63668053
2023-08-18,463.02,0.054479,16.53,75351566
2023-08-21,468.18,0.05431,17.86,69089678
2023-08-22,468.81,0.053954,16.52,43734737
2023-08-23,467.67,0.054494,15.61,101861361
2023-08-24,466.09,0.054468,13.66,50032220
2023-08-25,462.55,0.054724,15.25,45192665
2023-08-28,465.55,0.054908,15.63,70480456
2023-08-29,472.64,0.055495,14.02,94006902
2023-08-30,468.04,0.055621,16.93,57707088
2023-08-31,464.85,0.055709,18.11,99224493
2023-09-01,462.46,0.055165,14.55,44329860
2023-09-04,456.01,0.0554,17.79,71164738
2023-09-05,458.94,0.055234,17.66,73492816
2023-09-06,452.27,0.055405,20.56,65398780
2023-09-07,461.1,0.055718,19.71,57035352
2023-09-08,458.95,0.056172,17.68,79509488
2023-09-11,460.59,0.056693,17.35,64421926
2023-09-12,465.72,0.056658,16.32,64256617
2023-09-13,469.17,0.056544,17.78,86740172
2023-09-14,465.99,0.056478,19.2,70455472
2023-09-15,454.83,0.05608,17.82,68756694
2023-09-18,464.8,0.05544,17.37,59081407
2023-09-19,468.7,0.055456,12.86,50519732
2023-09-20,471.6,0.055825,12.17,50053720
2023-09-21,470.15,0.055994,17.16,71059310
2023-09-22,469.3,0.055825,15.35,53592367
2023-09-25,461.79,0.055787,17.45,41166536
2023-09-26,452.63,0.056344,17.64,71179573
2023-09-27,456.17,0.056475,17.8,71416945
2023-09-28,450.18,0.056442,20.25,78738954
2023-09-29,453.32,0.056328,18.63,71992664
2023-10-02,451.13,0.056586,18.87,39001863
