timestamp,sma_20,sma_50,ema_12,ema_26,rsi_14,bb_upper,bb_lower,macd,macd_signal,atr_14
2023-01-03,,,451.55,451.55,,,,,,
2023-01-04,,,451.32076923076926,451.4396296296296,,,,,,
2023-01-05,,,451.4729585798817,451.50410150891634,,,,,,
2023-01-06,,,451.08634956759226,451.3156495452929,,,,,,
2023-01-09,,,451.0869111725781,451.2989347641601,,,,,,
2023-01-10,,,451.9335402229507,451.6908655223705,,,,,,
2023-01-11,,,452.14838018865055,451.8122828910838,,,,,,
2023-01-12,,,452.393244775012,451.9550767510035,,,,,,
2023-01-13,,,452.3835148096255,451.98284884352177,,,,,,
2023-01-16,,,452.87066637737547,452.24708226252017,,,,,,
2023-01-17,,,452.2367177039331,451.98803913196315,,,,,,
2023-01-18,,,451.8418380571742,451.8163325295955,,,,,,
2023-01-19,,,450.4692475868397,451.1573449348106,,,,,,
2023-01-20,,,449.230901804249,450.51013419889875,,,,,,
2023-01-23,,,448.521532295903,450.07382796194327,41.38,,,,,4.8293
2023-01-24,,,447.7659119426872,449.59502589068825,41.88,,,,,4.6914
2023-01-25,,,446.67884856688914,448.9361350839706,35.62,,,,,4.6814
2023-01-26,,,445.59133340275235,448.24531026293573,37.73,,,,,4.5243
2023-01-27,,,445.66035903309813,448.08195394716273,44.05,,,,,4.4914
2023-01-30,448.45,,445.5879961049292,447.8677351362618,34.9,458.5,438.41,,,4.1679
2023-01-31,448.22,,445.7852274734016,447.79382882987204,41.07,458.17,438.26,,,4.385
2023-02-01,448.03,,445.87519247749367,447.6883600276593,39.84,457.98,438.08,,,4.2843
2023-02-02,447.73,,445.92516286557156,447.5781111367216,41.25,457.5,437.96,,,4.0221
2023-02-03,447.41,,445.4243685785605,447.21454734881627,31.78,457.42,437.41,,,4.0379
2023-02-06,446.96,,444.8913887972435,446.8253216192743,38.39,457.09,436.83,,,3.5293
2023-02-07,446.27,,444.5880982130522,446.5360385363651,38.48,455.47,437.08,-1.9479,-1.9479,3.4964
2023-02-08,445.64,,443.99300618027496,446.10522086700473,45.55,454.53,436.76,-2.1122,-1.9808,3.1557
2023-02-09,445.45,,444.9048513833096,446.38779709907845,61.21,453.75,437.16,-1.4829,-1.8812,3.8007
2023-02-10,445.51,,446.2225665551082,446.91240472136894,62.72,454.02,437.0,-0.6898,-1.6429,3.8114
2023-02-13,445.57,,447.8329409312454,447.6366710383046,67.68,454.37,436.77,0.1963,-1.2751,3.9036
2023-02-14,446.17,,449.84018078797686,448.6176583688005,76.36,457.27,435.08,1.2225,-0.7756,3.985
2023-02-15,447.02,,452.42476835905734,449.95264663777823,81.47,461.36,432.68,2.4721,-0.126,4.4071
2023-02-16,448.23,,454.68403476535616,451.2235617016465,78.48,464.99,431.47,3.4605,0.5913,4.3293
