timestamp,strike,expiry,option_type,bid,ask,mid,last,volume,open_interest,implied_vol,delta,gamma,vega,theta
2023-01-03,406.4,2023-02-02,call,46.19,47.84,47.02,47.05,2408,12046,0.178812,0.9848,0.001657,0.0497,-0.0148
2023-01-03,406.4,2023-02-02,put,0.13,0.13,0.13,0.13,2723,5983,0.178812,-0.0152,0.001657,0.0497,-0.0148
2023-01-03,428.97,2023-02-02,call,25.29,26.12,25.7,25.75,1813,14411,0.167603,0.8812,0.009157,0.2572,-0.0718
2023-01-03,428.97,2023-02-02,put,1.27,1.31,1.29,1.29,1424,11427,0.167603,-0.1188,0.009157,0.2572,-0.0718
2023-01-03,451.55,2023-02-02,call,9.79,10.09,9.94,9.95,2043,17098,0.173565,0.5442,0.017646,0.5133,-0.1485
2023-01-03,451.55,2023-02-02,put,7.89,8.13,8.01,8.02,6060,20776,0.173565,-0.4558,0.017646,0.5133,-0.1485
2023-01-03,474.13,2023-02-02,call,2.08,2.15,2.12,2.11,3676,945,0.167295,0.183,0.012241,0.3432,-0.0957
2023-01-03,474.13,2023-02-02,put,22.3,23.03,22.66,22.75,1267,7750,0.167295,-0.817,0.012241,0.3432,-0.0957
2023-01-03,496.71,2023-02-02,call,0.34,0.36,0.35,0.35,1622,8625,0.177302,0.0387,0.003657,0.1087,-0.0321
2023-01-03,496.71,2023-02-02,put,42.63,44.15,43.39,43.37,1217,8498,0.177302,-0.9613,0.003657,0.1087,-0.0321
2023-01-03,406.4,2023-03-04,call,48.58,50.31,49.44,49.68,2547,8529,0.181575,0.9434,0.003422,0.2083,-0.0315
2023-01-03,406.4,2023-03-04,put,0.81,0.84,0.82,0.82,2780,4073,0.181575,-0.0566,0.003422,0.2083,-0.0315
2023-01-03,428.97,2023-03-04,call,29.15,30.11,29.63,29.64,5526,8873,0.173706,0.812,0.008478,0.4936,-0.0715
2023-01-03,428.97,2023-03-04,put,3.34,3.45,3.4,3.42,740,11668,0.173706,-0.188,0.008478,0.4936,-0.0715
2023-01-03,451.55,2023-03-04,call,14.02,14.44,14.23,14.17,5963,7134,0.167882,0.5635,0.012815,0.7211,-0.1009
2023-01-03,451.55,2023-03-04,put,10.22,10.53,10.38,10.37,2245,18167,0.167882,-0.4365,0.012815,0.7211,-0.1009
2023-01-03,474.13,2023-03-04,call,5.54,5.72,5.63,5.57,3835,6749,0.172039,0.294,0.010937,0.6306,-0.0904
2023-01-03,474.13,2023-03-04,put,23.77,24.56,24.16,24.4,4140,15101,0.172039,-0.706,0.010937,0.6306,-0.0904
2023-01-03,496.71,2023-03-04,call,1.33,1.38,1.36,1.37,2083,2298,0.162118,0.099,0.005872,0.3191,-0.0431
2023-01-03,496.71,2023-03-04,put,41.54,43.02,42.28,42.35,3623,1330,0.162118,-0.901,0.005872,0.3191,-0.0431
2023-01-04,405.05,2023-02-03,call,46.05,47.69,46.87,46.8,1336,5940,0.179384,0.9845,0.00168,0.0502,-0.015
2023-01-04,405.05,2023-02-03,put,0.13,0.13,0.13,0.13,2274,8568,0.179384,-0.0155,0.00168,0.0502,-0.015
2023-01-04,427.56,2023-02-03,call,25.47,26.31,25.89,26.07,2179,15728,0.17792,0.8676,0.009334,0.2765,-0.082
2023-01-04,427.56,2023-02-03,put,1.54,1.59,1.56,1.55,3738,4389,0.17792,-0.1324,0.009334,0.2765,-0.082
2023-01-04,450.06,2023-02-03,call,9.62,9.91,9.76,9.79,2245,18968,0.170688,0.5446,0.018001,0.5115,-0.1455
2023-01-04,450.06,2023-02-03,put,7.72,7.96,7.84,7.79,2310,19279,0.170688,-0.4554,0.018001,0.5115,-0.1455
2023-01-04,472.56,2023-02-03,call,2.47,2.56,2.52,2.51,5243,11430,0.178911,0.1999,0.012125,0.3611,-0.1077
2023-01-04,472.56,2023-02-03,put,22.62,23.37,23.0,23.25,2194,7435,0.178911,-0.8001,0.012125,0.3611,-0.1077
2023-01-04,495.07,2023-02-03,call,0.32,0.33,0.32,0.32,2164,7288,0.17491,0.0367,0.00356,0.1037,-0.0302
